arm,mix,value_size,dist,scale,rep,order,keys,server,version,ops_per_sec,value_ops_per_sec,hit_ratio,p50_us,p99_us,used_memory,vmhwm_bytes,disk_bytes,coverage_fraction
cap,10,4096,zipfian,1,1,aki redis valkey,31987,valkey,valkey 9.1.0,1448456.5,1444148.4,0.997,263.167,5382.143,130925296,307347456,0,0.782
cap,10,4096,zipfian,1,2,valkey redis aki,31987,f3,unknown,1340166.5,1340166.5,1,494.335,3909.631,132058768,908820480,18280448,1
cap,10,4096,zipfian,1,2,valkey redis aki,31987,redis,redis 8.8.0,1137916.6,1134516.2,0.997,373.247,5394.431,130538904,239173632,0,0.76
cap,10,4096,zipfian,1,2,valkey redis aki,31987,valkey,valkey 9.1.0,1423002.7,1418727.5,0.997,274.175,5382.143,131279312,310493184,0,0.808
cap,10,4096,zipfian,16,1,aki redis valkey,511793,f3,unknown,781683.3,781683.3,1,638.975,4390.911,147045808,899731456,2591608832,1
cap,10,4096,zipfian,16,1,aki redis valkey,511793,redis,redis 8.8.0,1014160.7,987977.4,0.9742,466.175,4767.743,131219528,238354432,0,0.051
cap,10,4096,zipfian,16,1,aki redis valkey,511793,valkey,valkey 9.1.0,1284137.0,1251039.1,0.9742,327.679,5414.911,131473264,362086400,0,0.0475
cap,10,4096,zipfian,16,2,valkey redis aki,511793,f3,unknown,780641.9,780641.9,1,637.951,4489.215,145735088,813543424,2561200128,1
cap,10,4096,zipfian,16,2,valkey redis aki,511793,redis,redis 8.8.0,963999.7,939120.8,0.9742,488.959,5132.287,131573944,239640576,0,0.05
cap,10,4096,zipfian,16,2,valkey redis aki,511793,valkey,valkey 9.1.0,1272642.1,1239917.9,0.9743,331.007,5414.911,131749488,363839488,0,0.0535
cap,10,4096,zipfian,4,1,aki redis valkey,127948,f3,unknown,748715.9,748715.9,1,607.743,5177.343,135742400,841945088,546922496,1
cap,10,4096,zipfian,4,1,aki redis valkey,127948,redis,redis 8.8.0,1059411.0,1042156.5,0.9837,435.455,4911.103,131616792,237584384,0,0.1925
cap,10,4096,zipfian,4,1,aki redis valkey,127948,valkey,valkey 9.1.0,1349478.4,1327714.0,0.9839,302.591,5406.719,131360592,334610432,0,0.1975
cap,10,4096,zipfian,4,2,valkey redis aki,127948,f3,unknown,864147.4,864147.4,1,603.647,5296.127,137130944,847785984,612982784,1
cap,10,4096,zipfian,4,2,valkey redis aki,127948,redis,redis 8.8.0,1021361.0,1004728.0,0.9837,454.399,5124.095,131520840,237084672,0,0.209
cap,10,4096,zipfian,4,2,valkey redis aki,127948,valkey,valkey 9.1.0,1336674.0,1315033.9,0.9838,307.199,5341.183,131490800,340639744,0,0.18
cap,10,512,uniform,1,1,aki redis valkey,219310,f3,unknown,991978.9,991978.9,1,891.391,3684.351,123514656,187752448,0,1
cap,10,512,uniform,1,1,aki redis valkey,219310,redis,redis 8.8.0,1945367.7,1920366.4,0.9871,404.735,2492.415,133056064,226811904,0,0.8625
cap,10,512,uniform,1,1,aki redis valkey,219310,valkey,valkey 9.1.0,1838471.0,1815897.8,0.9877,444.671,3418.111,133487968,305704960,0,0.884
cap,10,512,uniform,1,2,valkey redis aki,219310,f3,unknown,983579.1,983579.1,1,905.215,3592.191,123514656,187498496,0,1
cap,10,512,uniform,1,2,valkey redis aki,219310,redis,redis 8.8.0,1885684.0,1861546.2,0.9872,417.791,2529.279,132976984,227381248,0,0.86
cap,10,512,uniform,1,2,valkey redis aki,219310,valkey,valkey 9.1.0,1823221.8,1800779.8,0.9877,451.327,3362.815,133296600,310321152,0,0.865
cap,10,512,uniform,16,1,aki redis valkey,3508960,f3,unknown,16322.0,8906.6,0.5457,63340.543,66027.519,1074965504,1123971072,0,0.526
cap,10,512,uniform,16,1,aki redis valkey,3508960,redis,redis 8.8.0,1107342.7,1003611.7,0.9063,886.271,2033.663,133674920,274907136,0,0.059
cap,10,512,uniform,16,1,aki redis valkey,3508960,valkey,valkey 9.1.0,998545.5,905104.1,0.9064,972.799,2081.791,133970848,298078208,0,0.051
cap,10,512,uniform,16,2,valkey redis aki,3508960,f3,unknown,16509.7,9007.2,0.5456,63569.919,66093.055,1074965504,1123753984,0,0.526
cap,10,512,uniform,16,2,valkey redis aki,3508960,redis,redis 8.8.0,1083206.1,981419.2,0.906,906.239,2060.287,133665384,273592320,0,0.0635
cap,10,512,uniform,16,2,valkey redis aki,3508960,valkey,valkey 9.1.0,983318.9,891292.4,0.9064,996.351,1966.079,133942208,307040256,0,0.0525
cap,10,512,uniform,4,1,aki redis valkey,877240,f3,unknown,467491.9,467491.9,1,2121.727,3543.039,494308608,563109888,0,1
cap,10,512,uniform,4,1,aki redis valkey,877240,redis,redis 8.8.0,1197430.2,1104480.0,0.9224,828.927,2000.895,133503912,277454848,0,0.217
cap,10,512,uniform,4,1,aki redis valkey,877240,valkey,valkey 9.1.0,1081409.8,997716.4,0.9226,901.119,2042.879,133749536,341659648,0,0.209
cap,10,512,uniform,4,2,valkey redis aki,877240,f3,unknown,469305.2,469305.2,1,2115.583,3502.079,494308608,563105792,0,1
cap,10,512,uniform,4,2,valkey redis aki,877240,redis,redis 8.8.0,1160560.6,1070539.3,0.9224,856.575,2059.263,133519088,276676608,0,0.218
cap,10,512,uniform,4,2,valkey redis aki,877240,valkey,valkey 9.1.0,1087849.7,1003486.5,0.9224,889.343,2097.151,133786640,337690624,0,0.217
cap,10,512,zipfian,1,1,aki redis valkey,219310,f3,unknown,1005613.7,1005613.7,1,876.031,3692.543,123514656,187994112,0,1
cap,10,512,zipfian,1,1,aki redis valkey,219310,redis,redis 8.8.0,2289973.4,2286432.1,0.9985,339.199,2684.927,132969016,225837056,0,0.8685
cap,10,512,zipfian,1,1,aki redis valkey,219310,valkey,valkey 9.1.0,2163748.5,2160518.4,0.9985,340.991,3862.527,133328720,269205504,0,0.8605
cap,10,512,zipfian,1,2,valkey redis aki,219310,f3,unknown,988234.0,988234.0,1,893.951,3665.919,123514656,188231680,0,1
cap,10,512,zipfian,1,2,valkey redis aki,219310,redis,redis 8.8.0,2212504.3,2209102.4,0.9985,351.999,2752.511,132874520,227082240,0,0.861
cap,10,512,zipfian,1,2,valkey redis aki,219310,valkey,valkey 9.1.0,2158053.7,2154805.3,0.9985,339.711,4003.839,133420528,269496320,0,0.8555
cap,10,512,zipfian,16,1,aki redis valkey,3508960,f3,unknown,39608.1,37952.6,0.9582,2027.519,65077.247,1074965504,1133879296,0,0.526
cap,10,512,zipfian,16,1,aki redis valkey,3508960,redis,redis 8.8.0,1692524.6,1653771.6,0.9771,486.655,2371.583,133067240,268595200,0,0.053
cap,10,512,zipfian,16,1,aki redis valkey,3508960,valkey,valkey 9.1.0,1580540.2,1544306.5,0.9771,551.423,2963.455,133321264,317710336,0,0.051
