store,chunk_kib,mix,dist,keys,val_mb,workload,ops,ns_per_op,ops_per_s,p50_ns,p99_ns,max_ns,wa,file_mb,wal_mb,vmhwm_mb
b,16,setrange,uniform,32,8,setrange-write,180033,6971,143456,5917,28667,706458,252.8,0.0,0.0,0.0
b,16,setrange,uniform,32,8,setrange-read,19967,7739,129208,5792,32792,483583,0.0,0.0,0.0,0.0
b,16,setrange,uniform,32,8,flush,348,40655544,25,0,0,185740166,0.0,3832.0,192.0,0.0
b,16,append,uniform,32,8,load,32,745432,1342,0,0,0,0.0,8.0,0.0,0.0
b,16,append,uniform,32,8,append-write,179928,34,29444190,41,84,71459,1.0,0.0,0.0,0.0
b,16,append,uniform,32,8,append-read,20072,5002,199928,4125,28666,113792,0.0,0.0,0.0,0.0
b,16,append,uniform,32,8,flush,2,19092874,52,0,0,27422333,0.0,24.0,64.0,0.0
b,16,setbit,uniform,32,8,load,32,42599277,23,0,0,0,0.0,328.0,0.0,0.0
b,16,setbit,uniform,32,8,setbit-write,179968,7047,141901,5875,23125,6603792,16117.9,0.0,0.0,0.0
b,16,setbit,uniform,32,8,setbit-read,20032,5953,167995,5083,17500,1952042,0.0,0.0,0.0,0.0
b,16,setbit,uniform,32,8,flush,346,57875723,17,0,0,1122979708,0.0,3856.0,192.0,0.0
b,16,getrange,uniform,32,8,load,32,68547346,15,0,0,0,0.0,328.0,0.0,0.0
b,16,getrange,uniform,32,8,getrange-write,19967,6116,163500,5458,25459,140833,252.9,0.0,0.0,0.0
b,16,getrange,uniform,32,8,getrange-read,180033,6873,145504,5292,28000,303208,0.0,0.0,0.0,0.0
b,16,getrange,uniform,32,8,flush,39,39310170,25,0,0,145168208,0.0,720.0,128.0,0.0
b,16,setbit,zipf,32,8,load,32,65586948,15,0,0,0,0.0,328.0,0.0,0.0
b,16,setbit,zipf,32,8,setbit-write,179959,4731,211358,5458,13334,417458,11698.3,0.0,0.0,0.0
b,16,setbit,zipf,32,8,setbit-read,20041,4102,243762,4667,11583,190625,0.0,0.0,0.0,0.0
b,16,setbit,zipf,32,8,flush,251,43721359,23,0,0,557601458,0.0,2888.0,192.0,0.0
b,32,setrange,uniform,32,8,load,32,38324677,26,0,0,0,0.0,304.0,0.0,0.0
b,32,setrange,uniform,32,8,setrange-write,180033,12663,78973,10584,52167,2885625,504.8,0.0,0.0,0.0
b,32,setrange,uniform,32,8,setrange-read,19967,12439,80391,9792,50875,283500,0.0,0.0,0.0,0.0
b,32,setrange,uniform,32,8,flush,694,61297183,16,0,0,1200571000,0.0,6648.0,192.0,0.0
b,32,append,uniform,32,8,load,32,1874647,533,0,0,0,0.0,8.0,0.0,0.0
b,32,append,uniform,32,8,append-write,179928,33,30438098,41,83,41875,1.0,0.0,0.0,0.0
b,32,append,uniform,32,8,append-read,20072,7432,134549,5833,47209,653125,0.0,0.0,0.0,0.0
b,32,append,uniform,32,8,flush,2,13814438,72,0,0,17675125,0.0,24.0,64.0,0.0
b,32,setbit,uniform,32,8,load,32,21733126,46,0,0,0,0.0,304.0,0.0,0.0
b,32,setbit,uniform,32,8,setbit-write,179968,10590,94430,9291,39250,451666,32235.4,0.0,0.0,0.0
b,32,setbit,uniform,32,8,setbit-read,20032,9081,110121,7958,32375,323959,0.0,0.0,0.0,0.0
b,32,setbit,uniform,32,8,flush,692,27336831,37,0,0,158122917,0.0,6664.0,192.0,0.0
b,32,getrange,uniform,32,8,load,32,31815931,31,0,0,0,0.0,304.0,0.0,0.0
b,32,getrange,uniform,32,8,getrange-write,19967,10309,96999,8459,50500,590125,504.6,0.0,0.0,0.0
b,32,getrange,uniform,32,8,getrange-read,180033,10330,96809,7833,47417,2128291,0.0,0.0,0.0,0.0
b,32,getrange,uniform,32,8,flush,77,95760120,10,0,0,2951500750,0.0,1008.0,192.0,0.0
b,32,setbit,zipf,32,8,load,32,19504677,51,0,0,0,0.0,304.0,0.0,0.0
b,32,setbit,zipf,32,8,setbit-write,179899,10184,98198,9625,45792,3774209,26006.9,0.0,0.0,0.0
b,32,setbit,zipf,32,8,setbit-read,20101,8964,111553,8209,32750,6966875,0.0,0.0,0.0,0.0
b,32,setbit,zipf,32,8,flush,558,40102019,25,0,0,210205584,0.0,5432.0,192.0,0.0
b,64,setrange,uniform,32,8,load,32,39797224,25,0,0,0,0.0,288.0,0.0,0.0
b,64,setrange,uniform,32,8,setrange-write,180033,22159,45129,18792,83375,10773625,1009.0,0.0,0.0,0.0
b,64,setrange,uniform,32,8,setrange-read,19967,22258,44928,16792,76208,37646000,0.0,0.0,0.0,0.0
b,64,setrange,uniform,32,8,flush,1386,70923102,14,0,0,3540263958,0.0,12120.0,192.0,0.0
b,64,append,uniform,32,8,load,32,1258977,794,0,0,0,0.0,8.0,0.0,0.0
b,64,append,uniform,32,8,append-write,179928,32,30907349,41,83,48833,1.0,0.0,0.0,0.0
b,64,append,uniform,32,8,append-read,20072,11723,85299,9708,51250,125209,0.0,0.0,0.0,0.0
b,64,append,uniform,32,8,flush,2,16936166,59,0,0,19613250,0.0,24.0,64.0,0.0
b,64,setbit,uniform,32,8,load,32,39046758,26,0,0,0,0.0,288.0,0.0,0.0
b,64,setbit,uniform,32,8,setbit-write,179968,19503,51274,16750,74167,473416,64518.9,0.0,0.0,0.0
